depth,auroc_task,auroc_task_ci_lo,auroc_task_ci_hi,auroc_control,auroc_base,gap_vs_input,gap_vs_base,p_task_vs_input,p_task_vs_base,p_task_vs_input_bh,p_task_vs_base_bh
1,1.0,,,0.5082617974247072,1.0,0.5060096694906862,0.0,0.0004997501249375312,1.0,0.0004997501249375312,1.0
2,1.0,,,0.506551735862491,1.0,0.5060096694906862,0.0,0.0004997501249375312,1.0,0.0004997501249375312,1.0
3,1.0,,,0.5025445916052977,1.0,0.5060096694906862,0.0,0.0004997501249375312,1.0,0.0004997501249375312,1.0
4,1.0,,,0.5021445772047795,1.0,0.5060096694906862,0.0,0.0004997501249375312,1.0,0.0004997501249375312,1.0
5,1.0,,,0.5007385265869571,1.0,0.5060096694906862,0.0,0.0004997501249375312,1.0,0.0004997501249375312,1.0
6,1.0,,,0.49927847402506487,1.0,0.5060096694906862,0.0,0.0004997501249375312,1.0,0.0004997501249375312,1.0
7,1.0,,,0.4965023740854671,1.0,0.5060096694906862,0.0,0.0004997501249375312,1.0,0.0004997501249375312,1.0
8,1.0,,,0.4953803336920129,1.0,0.5060096694906862,0.0,0.0004997501249375312,1.0,0.0004997501249375312,1.0
