depth,auroc_task,auroc_task_ci_lo,auroc_task_ci_hi,auroc_control,auroc_control_ci_lo,auroc_control_ci_hi,auroc_base,auroc_base_ci_lo,auroc_base_ci_hi,gap_task_vs_control,gap_task_vs_base,p_task_vs_control,p_task_vs_base,p_task_vs_control_bh,p_task_vs_base_bh,is_hacking_prone
1,1.0,0.9999999999999999,1.0,0.4701364249112968,0.4440174565988656,0.4950192328610119,1.0,0.9999999999999999,1.0000000000000002,0.5176481294802867,0.0,0.0004997501249375312,0.8825587206396801,0.0004997501249375312,0.8990504747626187,False
2,1.0,0.9999999999999999,1.0,0.4696394070186526,0.44326706904481367,0.4945528526102093,1.0,0.9999999999999999,1.0000000000000002,0.5130458349334357,0.0,0.0004997501249375312,0.8830584707646177,0.0004997501249375312,0.8990504747626187,False
3,1.0,0.9999999999999999,1.0,0.4690753867139217,0.4428813525557414,0.4943558462460821,1.0,0.9999999999999999,1.0,0.5134698620711725,0.0,0.0004997501249375312,0.8845577211394303,0.0004997501249375312,0.8990504747626187,False
4,1.0,0.9999999999999999,1.0000000000000002,0.46868137252941106,0.44241179088709603,0.494088544713545,1.0,0.9999999999999999,1.0000000000000002,0.5153419818868408,0.0,0.0004997501249375312,0.8775612193903048,0.0004997501249375312,0.8990504747626187,False
5,1.0,0.9999999999999999,1.0,0.4682593573368641,0.4421013697658342,0.49326033205917197,1.0,0.9999999999999999,1.0000000000000002,0.5144969278033793,0.0,0.0004997501249375312,0.8990504747626187,0.0004997501249375312,0.8990504747626187,False
6,1.0,,,0.46777033973223037,0.4413522464991544,0.4925532090776435,1.0,0.9999999999999999,1.0000000000000002,0.5164480526753712,0.0,0.0004997501249375312,0.8830584707646177,0.0004997501249375312,0.8990504747626187,False
7,1.0,0.9999999999999999,1.0,0.4674913296878688,0.4408927014154439,0.49191855615956687,1.0,0.9999999999999999,1.0,0.5191292242703534,0.0,0.0004997501249375312,0.8820589705147426,0.0004997501249375312,0.8990504747626187,False
8,1.0,0.9999999999999999,1.0000000000000002,0.4673043229556264,0.44060314594019556,0.49181010748747206,1.0,0.9999999999999999,1.0000000000000002,0.5218403977854582,0.0,0.0004997501249375312,0.8770614692653673,0.0004997501249375312,0.8990504747626187,False
